Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
5/27/2014,Josh,Alesen Rd.,3,NA,NA,194,"CHECK, does not exist in map",,11:33,36.6891,-101.30484,40,10 to 15,,,
5/27/2014,Roy,Alesen Rd.,1,NA,NA,333,"CHECK, does not exist in map",,11:23,36.67945,-101.29563,30,10 to 15,Wind picked up again. Cattle grazing nearby.,"GRSP, WEME","WEKI (S), GRSP (S/H)"
5/27/2014,Tory,Alesen Rd.,2,NA,NA,370,"CHECK, does not exist in map",,11:30,36.68661,-101.2957,30,5 to 10,,,
5/29/2014,Josh,Alesen Rd.,6,NA,NA,199,"CHECK, does not exist in map",,11:36,36.68919,-101.3319,0,5 to 10,,,
5/29/2014,Josh,Alesen Rd.,9,NA,NA,200,"CHECK, does not exist in map",,11:57,36.71038,-101.32803,0,5 to 10,,,
5/29/2014,Roy,Alesen Rd.,4,NA,NA,337,"CHECK, does not exist in map",,11:30,36.68911,-101.31395,0,10 to 15,,,MODO
5/29/2014,Roy,Alesen Rd.,7,NA,NA,338,"CHECK, does not exist in map",,11:53,36.694,-101.33182,0,10 to 15,,HOLA,HOLA
5/29/2014,Tory,Alesen Rd.,5,NA,NA,374,"CHECK, does not exist in map",,11:30,36.68911,-101.32286,0,5 to 10,,,"GRSP, MODO (2), SCQU"
5/29/2014,Tory,Alesen Rd.,8,NA,NA,375,"CHECK, does not exist in map",,11:54,36.70382,-101.33167,0,5 to 10,,,GRSP
5/14/2014,JDR,Black Kettle NG,3,BKNG,BKNGPC14,99,,,9:46,35.59581,-99.65971,20,5 to 10,,WEKI,AMCR
5/14/2014,JDR,Black Kettle NG,5,BKNG,BKNGPC15,100,,,10:21,35.60999,-99.57595,20,5 to 10,,,
5/14/2014,JDR,Black Kettle NG,7,BKNG,BKNGPC08,98,,,9:19,35.60265,-99.64536,20,5 to 10,,,
5/14/2014,JDR,Black Kettle NG,10,BKNG,BKNGPC13,101,,,10:55,35.61504,-99.71311,20,5 to 10,,,
5/15/2014,Josh,Black Kettle NG,1,BKNG,BKNG-PC01,192,,,10:17,35.79293,-99.85398,50,5 to 10,,,"AMCR, MODO,MIKI,UVU,CLSW"
5/15/2014,Josh,Black Kettle NG,5,BKNG,BKNGPC05,193,,,10:50,35.61718,-99.69678,70,5 to 10,,,CCSP
5/15/2014,Josh,Black Kettle NG,6,BKNG,BKNGPC06,190,,,9:18,35.61714,-99.68766,30,5 to 10,,MIKI,RBWO
5/15/2014,Josh,Black Kettle NG,8,BKNG,BKNGPC08,191,,,9:39,35.60263,-99.64536,50,5 to 10,,,
5/15/2014,Kristen,Black Kettle NG,3,BKNG,NA,240,By 4 and 13.   Where to place?,,10:52,35.62,-99.71,60,5 to 10,,,
5/15/2014,Kristen,Black Kettle NG,10,BKNG,NA,239,Between 11 and 12.   Where to place?,,10:19,35.61,-99.59,30,5 to 10,Car stopped to ask what we were doing for abt 1.5min.,,
5/15/2014,Kristen,Black Kettle NG,?8,BKNG,NA,238,Between 9 and 14.  Where to place?,,9:46,35.6,-99.66,,,,WEKI,AMCR
5/15/2014,Tory,Black Kettle NG,4,BKNG,BKNGPC05,363,,,10:52,35.61718,-99.69678,60,0 to 5,,,
5/15/2014,Tory,Black Kettle NG,6,BKNG,BKNGPC07,360,,,9:18,35.60933,-99.64439,30,5 to 10,,MIKI,
5/15/2014,Tory,Black Kettle NG,8,BKNG,BKNGPC09,361,,,9:39,35.59875,-99.65285,30,5 to 10,,,
5/15/2014,Tory,Black Kettle NG,9,BKNG,BKNGPC11,362,,,10:18,35.6099,-99.59411,30,0 to 5,,,"EAME, LASP"
6/18/2014,Randy,Black Kettle NG,4,BKNG,BKNGPC04,314,,,6:58,35.6174,-99.705899,40,15 to 20,,,MODO
6/18/2014,Randy,Black Kettle NG,5,BKNG,BKNGPC05,316,,,7:34,35.61718,-99.69678,50,15 to 20,,,
6/18/2014,Randy,Black Kettle NG,6,BKNG,BKNGPC06,317,,,7:56,35.61714,-99.687466,60,15 to 20,,,
6/18/2014,Randy,Black Kettle NG,7,BKNG,BKNGPC07,318,,,8:28,35.60933,-99.64439,90,15 to 20,wind picking up hard to hear,,
6/18/2014,Randy,Black Kettle NG,8,BKNG,BKNGPC08,319,,,8:47,35.60263,-99.64536,90,15 to 20,,,
6/18/2014,Randy,Black Kettle NG,9,BKNG,BKNGPC09,320,,,9:06,35.59875,-99.65285,80,15 to 20,high gusts,,
6/18/2014,Randy,Black Kettle NG,10,BKNG,BKNGPC10,322,,,9:56,35.60995,-99.60295,40,15 to 20,,,
6/18/2014,Randy,Black Kettle NG,11,BKNG,BKNGPC11,323,,,10:10,35.6099,-99.59411,30,15 to 20,,,CASP
6/18/2014,Randy,Black Kettle NG,12,BKNG,BKNGPC12,324,,,10:24,35.60992,-99.58542,30,10 to 15,,,
6/18/2014,Randy,Black Kettle NG,13,BKNG,BKNGPC13,315,,,7:16,35.61504,-99.7131,40,15 to 20,,,
