,Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
1,05/18/14,TES,Selman Ranch,PC01,NA,NA,102,selman ranch pt 1 (get from gpx),,7:55,NA,NA,,,selman ranch pt 1 (get from gpx),,
2,05/18/14,TES,Selman Ranch,PC04,NA,NA,101,selman ranch pt 4 (get from gpx),,7:25,NA,NA,90,5 to 10 W,selman ranch pt 4 (get from gpx),,"BHCO, AMCR"
3,06/08/14,JNH,Cimarron Hills,PC02,NA,CIMHPC02,95,,,16:00,36.94381,-99.39931,60,20 to 25,,BEVI?,
4,06/08/14,JNH,Cimarron Hills,PC05,NA,CIMHPC05,97,,,16:19,36.96441,-99.40335,50.00%,20 to 25,,,
5,06/08/14,JNH,Cimarron Hills,PC07,NA,CIMHPC07,96,,,16:38,36.97285,-99.39648,30.00%,20 to 25,,,
6,06/08/14,JNH,Cimarron Hills,PC09,NA,CIMHPC09,98,,,16:56,36.98349,-99.39213,30.00%,20 to 25,,,
7,06/18/14,Jessica,Cimarron Hills,PC01,NA,CIMHPC01,100,,,18:07,36.93837,-99.39299,35.00%,20 to 25,,,
8,06/18/14,Jessica,Cimarron Hills,PC12,NA,NA,99additional,CIMHPC12?  Halfway between it.,,17:17,36.98719,-99.37579,30.00%,20 to 25,,,
9,06/18/14,RFF,Cimarron Hills,PC03,NA,CIMHPC03,89,,,15:58,36.9504,-99.40236,70.00%,15 to 20,,,
10,06/18/14,RFF,Cimarron Hills,PC04,NA,CIMHPC04,90,,,16:18,36.95972,-99.40328,40.00%,15 tp 20,herd of cattle <40m from me,,
11,06/18/14,RFF,Cimarron Hills,PC06,NA,CIMHPC06,91,,,16:38,36.97109,-99.40157,30.00%,15 to 20,,,
12,06/18/14,RFF,Cimarron Hills,PC08,NA,CIMHPC08,92,,,16:57,36.9735,-99.39207,25.00%,20,,WEME,
13,06/18/14,RFF,Cimarron Hills,PC10,NA,CIMHPC10,94,,,17:43,36.9872,-99.39055,20.00%,15 to 20,,,
14,06/18/14,RFF,Cimarron Hills,PC11,NA,CIMHPC11,93,,,17:15,36.98715,-99.38189,20.00%,15 to 20,,,
15,6/10/2013,JDR,Grazingland Res Lab,GRLB-PC12,NA,GRLBPC12,12,,,10:03,35.55129,-98.06737,0,15-20S,,,
