"","Date","Observer","Location","Point","StandardizedLocationName","index","cmc_comments","answers","Start.Time..24h.","Latitude","Longitude","Cloud","Wind","Notes","Species.before","Species.After","newspotnames"
"1","05/18/14","TES","Selman Ranch","PC01",NA,"102",NA,NA,"7:55",NA,NA,"","","selman ranch pt 1 (get from gpx)","","",NA
"2","05/18/14","TES","Selman Ranch","PC04",NA,"101",NA,NA,"7:25",NA,NA,"90","5 to 10 W","selman ranch pt 4 (get from gpx)","","BHCO, AMCR",NA
"3","06/08/14","JNH","Cimarron Hills","PC02",NA,"95",NA,NA,"16:00",36.94381,-99.39931,"60","20 to 25","","BEVI?","","CIMHPC02"
"4","06/08/14","JNH","Cimarron Hills","PC05",NA,"97",NA,NA,"16:19",36.96441,-99.40335,"50.00%","20 to 25","","","","CIMHPC05"
"5","06/08/14","JNH","Cimarron Hills","PC07",NA,"96",NA,NA,"16:38",36.97285,-99.39648,"30.00%","20 to 25","","","","CIMHPC07"
"6","06/08/14","JNH","Cimarron Hills","PC09",NA,"98",NA,NA,"16:56",36.98349,-99.39213,"30.00%","20 to 25","","","","CIMHPC09"
"7","06/18/14","Jessica","Cimarron Hills","PC01",NA,"100",NA,NA,"18:07",36.93837,-99.39299,"35.00%","20 to 25","","","","CIMHPC01"
"8","06/18/14","Jessica","Cimarron Hills","PC12",NA,"99",NA,NA,"17:17",36.98719,-99.37579,"30.00%","20 to 25","","","",NA
"9","06/18/14","RFF","Cimarron Hills","PC03",NA,"89",NA,NA,"15:58",36.9504,-99.40236,"70.00%","15 to 20","","","","CIMHPC03"
"10","06/18/14","RFF","Cimarron Hills","PC04",NA,"90",NA,NA,"16:18",36.95972,-99.40328,"40.00%","15 tp 20","herd of cattle <40m from me","","","CIMHPC04"
"11","06/18/14","RFF","Cimarron Hills","PC06",NA,"91",NA,NA,"16:38",36.97109,-99.40157,"30.00%","15 to 20","","","","CIMHPC06"
"12","06/18/14","RFF","Cimarron Hills","PC08",NA,"92",NA,NA,"16:57",36.9735,-99.39207,"25.00%","20","","WEME","","CIMHPC08"
"13","06/18/14","RFF","Cimarron Hills","PC10",NA,"94",NA,NA,"17:43",36.9872,-99.39055,"20.00%","15 to 20","","","","CIMHPC10"
"14","06/18/14","RFF","Cimarron Hills","PC11",NA,"93",NA,NA,"17:15",36.98715,-99.38189,"20.00%","15 to 20","","","","CIMHPC11"
"15","6/10/2013","JDR","Grazingland Res Lab","GRLB-PC12",NA,"12",NA,NA,"10:03",35.55129,-98.06737,"0","15-20S","","","","GRLBPC12"
"16","6/10/2013","JDR","Grazingland Res Lab","GRLB-PC4",NA,"10",NA,NA,"8:45",35.56046,-98.04102,"0","10-15S","","","","GRLBPC04"
"17","6/10/2013","JDR","Grazingland Res Lab","GRLB-PC8",NA,"11",NA,NA,"9:23",35.54983,-98.01549,"0","10-15S","","","","GRLBPC08"
"18","6/10/2013","MDF","Grazinglands Res Lab","GRLB-PC10",NA,"43",NA,NA,"10:01",35.5432,-98.06115,"0%","10 to 15","","","","GRLBPC10"
"19","6/10/2013","MDF","Grazinglands Res Lab","GRLB-PC2",NA,"41",NA,NA,"8:42",35.54961,-98.04339,"0%","10 to 15","","","","GRLBPC02"
"20","6/10/2013","MDF","Grazinglands Res Lab","GRLB-PC6",NA,"42",NA,NA,"9:19",35.54372,-98.00511,"0%","10 to 15","","","","GRLBPC06"
"21","6/11/2013","JDR","Sandy Sanders WMA","SAND-PC3",NA,"13",NA,NA,"6:54",35.01656,-99.71515,"","0-5 SSE","","","","SAND-PC03"
"22","6/11/2013","MDF","Sandy Sanders WMA","SAND-PC1",NA,"44",NA,NA,"6:51",35.0166,-99.69772,"0%","0 to 5","","","","SAND-PC01"
"23","6/13/2013","JDR","Pennsylvania Ave (nr. KAEFS)","PENN-PC1",NA,"14",NA,NA,"9:24",34.92908,-97.54736,"0","15 SSW","","BEVI to NNW","","PENNPC01"
"24","6/13/2013","JDR","Pennsylvania Ave (nr. KAEFS)","PENN-PC3",NA,"15",NA,NA,"9:43",34.94353,-97.54741,"0","15 SSW","","2 MODO to SW","","PENNPC03"
"25","6/13/2013","JDR","Pennsylvania Ave (nr. KAEFS)","PENN-PC5",NA,"16",NA,NA,"10:00",34.95787,-97.54742,"0","15 SSW","","GRSP singing on fenceline to N","","PENNPC05"
"26","6/19/2013","MDF","Cross Rd W of WMWR","WXRD-PC1",NA,"64",NA,NA,"10:00",34.69629,-98.77359,"100%","0 to 5","","","","WXRD-PC01"
"27","6/19/2013","MDF","Cross Rd W of WMWR","WXRD-PC3",NA,"65",NA,NA,"10:17",34.69618,-98.7909,"100%","0 to 5","","","","WXRD-PC03"
"28","6/19/2013","MDF","Cross Rd W of WMWR","WXRD-PC6",NA,"66",NA,NA,"10:46",34.69606,-98.81738,"30%","10 to 15","","","","WXRD-PC06"
"29","6/19/2013","MDF","Cross Rd W of WMWR","WXRD-PC8",NA,"67",NA,NA,"11:12",34.69607,-98.83495,"30%","10 to 15","","","","WXRD-PC08"
"30","6/21/2013","MDF","Hwy49 W of WMWR","W49H-PC10",NA,"70",NA,NA,"10:51",34.7398,-98.86702,"20%","15 to 20","","","","W49H-PC10"
"31","6/21/2013","MDF","Hwy49 W of WMWR","W49H-PC2",NA,"68",NA,NA,"10:16",34.73982,-98.79802,"20%","10 to 15","","","","W49H-PC02"
"32","6/21/2013","MDF","Hwy49 W of WMWR","W49H-PC6",NA,"69",NA,NA,"10:33",34.73986,-98.83279,"20%","10 to 15","","","","W49H-PC06"
"33","6/21/2013","MDF","Wichita Mountains Wildlife Refuge","WMWR-PC2",NA,"71",NA,NA,"11:24",34.74478,-98.74531,"20%","15 to 20","","","","WMWR-PC02"
"34","6/21/2013","MDF","Wichita Mountains Wildlife Refuge","WMWR-PC6",NA,"72",NA,NA,"11:41",34.73635,-98.71053,"20%","15 to 20","","","","WMWR-PC06"
"35","6/23/2013","MDF","Wichita Mountains Wildlife Refuge","WMWR-PC10",NA,"73",NA,NA,"6:17",34.72529,-98.67892,"70%","15 to 20","","","","WMWR-PC10"
"36","6/23/2013","MDF","Wichita Mountains Wildlife Refuge","WMWR-PC14",NA,"74",NA,NA,"6:39",34.71561,-98.63075,"70%","15 to 20","","","","WMWR-PC14"
"37","6/23/2013","MDF","Wichita Mountains Wildlife Refuge","WMWR-PC18",NA,"75",NA,NA,"6:59",34.71222,-98.61198,"70%","15 to 20","","","","WMWR-PC18"
"38","6/23/2013","MDF","Wichita Mountains Wildlife Refuge","WMWR-PC22",NA,"76",NA,NA,"7:26",34.73543,-98.58324,"70%","15 to 20","","","","WMWR-PC22"
"39","6/23/2013","MDF ","Meers","MEER-PC2",NA,"77",NA,NA,"8:06",34.79721,-98.56143,"30%","15 to 20","","","","MEER-PC02"
"40","6/23/2013","MDF ","Meers","MEER-PC6",NA,"78",NA,NA,"8:24",34.79704,-98.59438,"30%","20 to 25","","","","MEER-PC06"
"41","6/29/2013","JDR","Rita Blanca NG","RBNG-PC22",NA,"17",NA,NA,"19:06",36.5305,-102.94289,"100","0-5 E","","","","RBNG-PC22"
"42","6/29/2013","JDR","Rita Blanca NG","RBNG-PC24",NA,"18",NA,NA,"19:25",36.53054,-102.92439,"100","5-10 E","Winds increasing; storms to west","","","RBNG-PC24"
"43","6/29/2013","JDR","Rita Blanca NG","RBNG-PC26",NA,"19",NA,NA,"19:41",36.53049,-102.90648,"100","10-15 E","","","","RBNG-PC26"
"44","6/29/2013","MDF","Rita Blanca NG","RBNG-PC23",NA,"51",NA,NA,"19:09",36.53057,-102.93358,"100%","0 to 5","","","","RBNG-PC23"
"45","6/29/2013","MDF","Rita Blanca NG","RBNG-PC25",NA,"52",NA,NA,"19:25",36.53054,-102.91554,"100%","0 to 5","","","","RBNG-PC25"
"46","6/29/2013","MDF","Rita Blanca NG","RBNG-PC27",NA,"53",NA,NA,"19:41",36.53054,-102.89727,"100%","0 to 5","","","","RBNG-PC27"
"47","6/3/2013","MDF","Selman Ranch","SELM-PC1",NA,"20",NA,NA,"12:09",36.76845,-99.38728,"0%","10 to 15","","","","SELMPC01"
"48","6/30/2013","MDF","Rita Blanca NG","RBNG-PC12",NA,"54",NA,NA,"7:18",36.53065,-102.71554,"10%","5 to 10","","","","RBNG-PC12"
"49","6/30/2013","MDF","Rita Blanca NG","RBNG-PC13",NA,"55",NA,NA,"7:39",36.5207,-102.72473,"10%","5 to 10","","","",NA
"50","6/30/2013","MDF","Rita Blanca NG","RBNG-PC14",NA,"56",NA,NA,"7:51",36.5307,-102.73385,"10%","5 to 10","","","","RBNG-PC14"
"51","6/30/2013","MDF","Rita Blanca NG","RBNG-PC15",NA,"57",NA,NA,"8:03",36.53067,-102.74321,"10%","5 to 10","","","","RBNG-PC15"
"52","6/30/2013","MDF","Rita Blanca NG","RBNG-PC16",NA,"58",NA,NA,"8:15",36.53066,-102.75236,"10%","5 to 10","","","","RBNG-PC16"
"53","6/30/2013","MDF","Rita Blanca NG","RBNG-PC17",NA,"59",NA,NA,"8:28",36.53065,-102.76153,"10%","5 to 10","","","","RBNG-PC17"
"54","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC18",NA,"60",NA,NA,"8:42",36.53065,-102.77064,"10%","5 to 10","","","","RBNG-PC18"
"55","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC19",NA,"61",NA,NA,"8:55",36.53066,-102.77992,"10%","10 to 15","","","","RBNG-PC19"
"56","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC20",NA,"62",NA,NA,"9:10",36.53063,-102.78953,"10%","10 to 15","","","","RBNG-PC20"
"57","6/30/2013","MDF ","Rita Blanca NG","RBNG-PC21",NA,"63",NA,NA,"9:24",36.53064,-102.79861,"10%","10 to 15","","","","RBNG-PC21"
"58","6/4/2013","ESB","Drummond Flats WMA","DRMD-PC4",NA,"1",NA,NA,"12:37",36.31837,-97.98165,"15%","10-15 N","Pastureland","","","DRMD-PC04"
"59","6/5/2013","MDF","Rita Blanca NG","RBNG-PC10",NA,"32",NA,NA,"11:38",36.52319,-102.69707,"0%","10 to 15","","","","RBNG-PC10"
"60","6/5/2013","MDF","Rita Blanca NG","RBNG-PC11",NA,"33",NA,NA,"11:52",36.53065,-102.69707,"0%","10 to 15","","","","RBNG-PC11"
"61","6/5/2013","MDF","Rita Blanca NG","RBNG-PC2",NA,"24",NA,NA,"9:41",36.51604,-102.62932,"0%","10 to 15","","","","RBNG-PC02"
"62","6/5/2013","MDF","Rita Blanca NG","RBNG-PC3",NA,"25",NA,NA,"9:59",36.5161,-102.63846,"0%","10 to 15","","","","RBNG-PC03"
"63","6/5/2013","MDF","Rita Blanca NG","RBNG-PC4",NA,"26",NA,NA,"10:16",36.51605,-102.64748,"0%","10 to 15","","","","RBNG-PC04"
"64","6/5/2013","MDF","Rita Blanca NG","RBNG-PC5",NA,"27",NA,NA,"10:30",36.51603,-102.65646,"0%","10 to 15","","","","RBNG-PC05"
