Date,Observer,Location,Transect,Point,OldPointNames,Longitude,Latitude,OriginalSpreadsheetName,Response,Cell,ClosestDistance,AngleOfClosestDistance,Strongest_behavior,Sex,DS_DistantSong_1,CN_Chip_notes_2,CS_CounterSong_3,CD_CounteredDisplay_4,APB_ApproachingPlayback_5,CPB_CirclingPlayback_6,ACS_AggressiveCounterSong_7
6/27/2014,Tory,Black Mesa,A,1,,36.51412,-102.52899,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,2,,36.51412,-102.52833,Black Mesa 4x13,1,"CN 0, 20m on cholla and fenceline        CPB N to S 200, 15m then aggressive CN (First territory)",15,200,6,M,,20,,,,15,
6/27/2014,Tory,Black Mesa,A,3,,36.51412,-102.52767,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,4,,36.51412,-102.52701,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,5,,36.51412,-102.5263,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,6,,36.51412,-102.52562,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,7,,36.51412,-102.52495,Black Mesa 4x13,1,"Aggressive CN 295, 10m",10,295,2,M,,10,,,,,
6/27/2014,Tory,Black Mesa,A,8,,36.51412,-102.52428,Black Mesa 4x13,1,"CN 270, 50m (A7 CASP, second territory)",50,270,2,M,,50,,,,,
6/27/2014,Tory,Black Mesa,A,9,,36.51412,-102.5263,Black Mesa 4x13,1,"CD 0, 30m in cholla (third territory)",30,0,4,M,,,,50,,,
6/27/2014,Tory,Black Mesa,A,10,,36.51412,-102.52293,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,11,,36.51412,-102.52226,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,12,,36.51412,-102.52159,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,A,13,,36.51412,-102.52091,Black Mesa 4x13,1,"CN 0, 30m",30,0,2,M,,30,,,,,
6/27/2014,Tory,Black Mesa,B,1,,36.51357,-102.52899,Black Mesa 4x13,1,"APB 90, 10m on yucca",10,90,5,M,,,,,10,,
6/27/2014,Tory,Black Mesa,B,2,,36.51357,-102.52833,Black Mesa 4x13,1,"CN 0, 50m (likely A2 CASP)",50,0,2,M,,50,,,,,
6/27/2014,Tory,Black Mesa,B,3,,36.51357,-102.52767,Black Mesa 4x13,1,"CN 0, 60m+",60,0,2,M,,60,,,,,
6/27/2014,Tory,Black Mesa,B,4,,36.51357,-102.52701,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,5,,36.51357,-102.5263,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,6,,36.51357,-102.52562,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,7,,36.51357,-102.52495,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,8,,36.51357,-102.52428,Black Mesa 4x13,1,"CN 25, 15m on dead cholla then ACS/CPB 90, 15m (fourth territory)",15,25,7,M,,,,,,15,15
6/27/2014,Tory,Black Mesa,B,9,,36.51357,-102.5263,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,10,,36.51357,-102.52293,Black Mesa 4x13,1,"CN 300, 30m",30,300,2,M,,30,,,,,
6/27/2014,Tory,Black Mesa,B,11,,36.51357,-102.52226,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,12,,36.51357,-102.52159,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,B,13,,36.51357,-102.52091,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,1,,36.51302,-102.52899,Black Mesa 4x13,1,"CN 270, 15m then ACS/CD (fifth territory)",15,270,7,M,,15,,15,,,15
6/27/2014,Tory,Black Mesa,C,2,,36.51302,-102.52833,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,3,,36.51302,-102.52767,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,4,,36.51302,-102.52701,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,5,,36.51302,-102.5263,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,6,,36.51302,-102.52562,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,7,,36.51302,-102.52495,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,8,,36.51302,-102.52428,Black Mesa 4x13,1,"CN 90, 30m then ACS/CD",30,90,7,M,,30,,30,,,30
6/27/2014,Tory,Black Mesa,C,9,,36.51302,-102.5263,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,10,,36.51302,-102.52293,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,11,,36.51302,-102.52226,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,12,,36.51302,-102.52159,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,C,13,,36.51302,-102.52091,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,1,,36.51247,-102.52899,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,2,,36.51247,-102.52833,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,3,,36.51247,-102.52767,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,4,,36.51247,-102.52701,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,5,,36.51247,-102.5263,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,6,,36.51247,-102.52562,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,7,,36.51247,-102.52495,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,8,,36.51247,-102.52428,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,9,,36.51247,-102.5263,Black Mesa 4x13,1,"ACS 260, 20m pair seen (sixth territory)",20,260,7,PAIR,,,,,,,20
6/27/2014,Tory,Black Mesa,D,10,,36.51247,-102.52293,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,11,,36.51247,-102.52226,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,12,,36.51247,-102.52159,Black Mesa 4x13,0,No response,,,,,,,,,,,
6/27/2014,Tory,Black Mesa,D,13,,36.51247,-102.52091,Black Mesa 4x13,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,A,1,1,36.85672,-102.87267,Black Mesa 5x5,1,"CN, CPB E to W and APB 0, 20m (First territory)",20,0,6,M,,20,,,20,20,
5/30/2014,Tory,Black Mesa,A,2,2,36.85672,-102.87154,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,A,3,3,36.85672,-102.87042,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,A,4,4,36.85672,-102.8693,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,A,5,5,36.85672,-102.86818,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,B,1,6,36.85582,-102.87267,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,B,2,7,36.85582,-102.87154,Black Mesa 5x5,1,"CN then ACS 270, 40m",40,270,7,M,,40,,,,,40
5/30/2014,Tory,Black Mesa,B,3,8,36.85582,-102.87042,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,B,4,9,36.85582,-102.8693,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,B,5,10,36.85582,-102.86818,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,C,1,11,36.85492,-102.87267,Black Mesa 5x5,1,"ACS 90, 70m (x2) then CS",70,90,7,M,,,70,,,,70
5/30/2014,Tory,Black Mesa,C,2,12,36.85492,-102.87154,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,C,3,13,36.85492,-102.87042,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,C,4,14,36.85492,-102.8693,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,C,5,15,36.85492,-102.86818,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,D,1,16,36.85402,-102.87267,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,D,2,17,36.85402,-102.87154,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,D,3,18,36.85402,-102.87042,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,D,4,19,36.85402,-102.8693,Black Mesa 5x5,0,No response                          CASP seen flying into brush,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,D,5,20,36.85402,-102.86818,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,E,1,21,36.85311,-102.87267,Black Mesa 5x5,1,"CS/CD 310, 60m (x2) (Second territory on private property to North)",60,310,4,M,,,60,60,,,
5/30/2014,Tory,Black Mesa,E,2,22,36.85311,-102.87154,Black Mesa 5x5,0,No response,,,,,,,,,,,
5/30/2014,Tory,Black Mesa,E,3,23,36.85311,-102.87042,Black Mesa 5x5,1,"CN 90, 20m",20,90,2,M,,20,,,,,
5/30/2014,Tory,Black Mesa,E,4,24,36.85311,-102.8693,Black Mesa 5x5,0,No response,,,,,,,,,,,
