Date,Observer,Location,Point ,Presence,Direction,Height,Yucca,Sage,Sandplum,Cholla,Tree,Other shrub,Notes
07/18/14,Josh and Roy,Black Mesa,C1,Y,NW,>1m,16,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,C1,Y,NW,<1m ,19,0,0,2,0,0,
07/18/14,Josh and Roy,Black Mesa,C1,Y,SE,>1m,24,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,C1,Y,SE,<1m ,31,0,0,1,0,0,
07/18/14,Josh and Roy,Black Mesa,A1,N,NW,>1m,16,0,0,0,1,0,"Wire fence running E to W 1m tall, Juniper 2m"
07/18/14,Josh and Roy,Black Mesa,A1,N,NW,<1m ,14,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A1,N,SE,>1m,4,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A1,N,SE,<1m ,9,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A2,Y,NE,>1m,5,0,0,2,0,0,
07/18/14,Josh and Roy,Black Mesa,A2,Y,NE,<1m ,34,0,0,2,0,0,
07/18/14,Josh and Roy,Black Mesa,A2,Y,SW,>1m,6,0,0,2,0,2,
07/18/14,Josh and Roy,Black Mesa,A2,Y,SW,<1m ,21,0,0,2,0,0,
07/18/14,Josh and Roy,Black Mesa,A4,N,NW,>1m,12,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A4,N,NW,<1m ,41,0,0,1,0,0,
07/18/14,Josh and Roy,Black Mesa,A4,N,SE,>1m,2,0,0,2,1,0,Juniper 
07/18/14,Josh and Roy,Black Mesa,A4,N,SE,<1m ,18,0,0,0,0,1,
07/18/14,Josh and Roy,Black Mesa,A6,N,NW,>1m,31,0,0,0,0,1,
07/18/14,Josh and Roy,Black Mesa,A6,N,NW,<1m ,39,0,0,3,0,0,
07/18/14,Josh and Roy,Black Mesa,A6,N,SE,>1m,9,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A6,N,SE,<1m ,19,0,0,2,0,0,
07/18/14,Josh and Roy,Black Mesa,A8,Y,NW,>1m,5,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A8,Y,NW,<1m ,0,0,0,0,0,0,
07/18/14,Josh and Roy,Black Mesa,A8,Y,SE,>1m,11,0,0,0,0,3,
07/18/14,Josh and Roy,Black Mesa,A8,Y,SE,<1m ,22,0,0,3,0,1,Woody stalk
07/18/14,Josh and Roy,Black Mesa,A9,Y,NW,>1m,13,0,0,4,0,0,
07/18/14,Josh and Roy,Black Mesa,A9,Y,NW,<1m ,12,0,0,3,0,0,
07/18/14,Josh and Roy,Black Mesa,A9,Y,SE,>1m,13,0,0,0,0,1,
07/18/14,Josh and Roy,Black Mesa,A9,Y,SE,<1m ,8,0,0,1,0,0,
07/18/14,Josh and Roy,Black Mesa,C11,N,NE,>1m,0,0,0,0,1,3,"Woody stalk, Juniper"
07/18/14,Josh and Roy,Black Mesa,C11,N,NE,<1m ,8,0,0,0,0,1,
07/18/14,Josh and Roy,Black Mesa,C11,N,SW,>1m,0,0,0,0,1,0,Juniper 5m
