"","Date","Observer","Location","Point","StandardizedLocationName","LocalSurveyName","Species","whattodowiththissighting","Quantity","Heard.Seen","Angle..deg.","Distance..m.","Breeding.Code","Flyover","Notes"
"1","04/18/2014","Crystina","Sod Farms","2",NA,NA,"SAVS","KEEP",4,"H","50",30,"","",""
"2","04/18/2014","Crystina","Sod Farms","2",NA,NA,"SAVS","KEEP",2,"S","310",80,"","Landed",""
"3","04/18/2014","Crystina","Sod Farms","2",NA,NA,"SAVS","KEEP",3,"S","270",40,"","",""
"4","04/18/2014","Crystina","Sod Farms","2",NA,NA,"AMCR","KEEP",1,"S","180",180,"","Flyover",""
"5","04/18/2014","Crystina","Sod Farms","5",NA,NA,"SAVS","KEEP",1,"H","270",20,"","",""
"6","04/18/2014","Crystina","Sod Farms","5",NA,NA,"EAME","KEEP",1,"H","300",80,"S","",""
"7","04/18/2014","Crystina","Sod Farms","5",NA,NA,"GRSP","KEEP",1,"H","60",20,"","",""
"8","04/18/2014","Crystina","Sod Farms","5",NA,NA,"EAME","KEEP",1,"H","50",10,"","",""
"9","04/18/2014","Crystina","Sod Farms","5",NA,NA,"GRSP","KEEP",1,"H","30",40,"","",""
"10","04/18/2014","Crystina","Sod Farms","5",NA,NA,"EAME","KEEP",1,"S","240",90,"","",""
"11","04/18/2014","Crystina","Sod Farms","5",NA,NA,"SAVS","KEEP",2,"S","170",50,"","",""
"12","04/18/2014","Crystina","Sod Farms","5",NA,NA,"SAVS","KEEP",1,"S","180",60,"","",""
"13","04/18/2014","Crystina","Sod Farms","5",NA,NA,"SAVS","KEEP",3,"S","30",30,"","",""
"14","04/18/2014","Crystina","Sod Farms","5",NA,NA,"EAME","KEEP",1,"S","160",20,"","",""
"15","04/18/2014","Crystina","Sod Farms","8",NA,NA,"RBWO","KEEP",1,"H","30",70,"","",""
"16","04/18/2014","Crystina","Sod Farms","8",NA,NA,"BLJA","KEEP",4,"H","60",100,"","","Heard then seen"
"17","04/18/2014","Crystina","Sod Farms","8",NA,NA,"AMCR","KEEP",1,"H","350",190,"","",""
"18","04/18/2014","Crystina","Sod Farms","8",NA,NA,"HOLA","KEEP",2,"S","160",30,"","",""
"19","04/18/2014","Crystina","Sod Farms","8",NA,NA,"TUTI","KEEP",1,"H","70",50,"","",""
"20","04/18/2014","Crystina","Sod Farms","8",NA,NA,"BGGN","KEEP",1,"H","350",10,"","",""
"21","04/18/2014","Crystina","Sod Farms","8",NA,NA,"NOCA","KEEP",1,"H","280",100,"","",""
"22","04/18/2014","Crystina","Sod Farms","8",NA,NA,"CACH","KEEP",1,"H","90",90,"","",""
"23","04/18/2014","Crystina","Sod Farms","8",NA,NA,"BGGN","KEEP",1,"S","10",20,"","",""
"24","04/18/2014","Crystina","Sod Farms","8",NA,NA,"WITU","KEEP",1,"H","140",300,"","",""
"25","04/18/2014","Crystina","Sod Farms","11",NA,NA,"HOLA","KEEP",2,"H","50",40,"","",""
"26","04/18/2014","Crystina","Sod Farms","11",NA,NA,"SWHA","KEEP",1,"S","120",160,"","Landed",""
"27","04/18/2014","Crystina","Sod Farms","11",NA,NA,"SWHA","KEEP",31,"S","340",300,"","","Many aggregated in a field."
"28","04/18/2014","Crystina","Sod Farms","11",NA,NA,"CARW","KEEP",1,"H","90",190,"","",""
"29","04/18/2014","Crystina","Sod Farms","11",NA,NA,"SAVS","KEEP",3,"H","180",50,"","",""
"30","04/18/2014","Crystina","Sod Farms","11",NA,NA,"SAVS","KEEP",1,"S","140",80,"","",""
"31","04/18/2014","Crystina","Sod Farms","11",NA,NA,"NOCA","KEEP",1,"H","280",220,"","",""
"32","04/18/2014","Crystina","Sod Farms","11",NA,NA,"SAVS","KEEP",2,"H","110",170,"","","Heard then seen"
"33","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"NOBO","KEEP",1,"H","140",100,"","",""
"34","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"EAME","KEEP",1,"H","330",40,"","",""
"35","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"EAME","KEEP",1,"H","160",60,"","",""
"36","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"EAME","KEEP",1,"H","200",30,"","",""
"37","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"BHCO","KEEP",4,"H","90",50,"","",""
"38","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"GRSP","KEEP",1,"H","320",20,"","",""
"39","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"BARS","KEEP",3,"S","340",110,"","Flyover",""
"40","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"GRSP","KEEP",1,"H","50",40,"","",""
"41","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"RTHA","KEEP",1,"S","150",180,"","",""
"42","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"SAVS","KEEP",1,"S","70",10,"","",""
"43","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"BHCO","KEEP",4,"S","240",50,"","",""
"44","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"YHBL","KEEP",7,"H","140",120,"","",""
"45","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"BRBL","KEEP",14,"S","140",120,"","",""
"46","04/20/2014","Crystina","Caddo Co Center Pivots","2",NA,NA,"NOMO","KEEP",1,"H","170",10,"","",""
"47","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"EAME","KEEP",1,"H","200",150,"","",""
"48","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"EAME","KEEP",1,"H","40",100,"","",""
"49","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"HOLA","KEEP",4,"S","340",60,"","",""
"50","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"HOLA","KEEP",1,"H","60",40,"","",""
"51","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"EAME","KEEP",1,"S","300",190,"","",""
"52","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"BARS","KEEP",2,"S","340",40,"","Flyover",""
"53","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"LASP","KEEP",2,"S","120",20,"","",""
"54","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"VESP","KEEP",1,"H","300",160,"","",""
"55","04/20/2014","Crystina","Caddo Co Center Pivots","6",NA,NA,"VESP","KEEP",1,"H","150",60,"","",""
"56","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"EAME","KEEP",1,"H","350",40,"","",""
"57","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"EAME","KEEP",1,"H","80",60,"","",""
"58","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"RWBL","KEEP",14,"H","60",20,"","",""
"59","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"BHCO","KEEP",3,"S","80",50,"","",""
"60","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"WCSP","KEEP",1,"S","350",10,"","",""
"61","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"WCSP","KEEP",2,"S","70",30,"","",""
"62","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"EAME","KEEP",1,"H","170",200,"","",""
"63","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"BRBL","KEEP",3,"H","210",60,"","Flyover",""
"64","04/20/2014","Crystina","Caddo Co Center Pivots","10",NA,NA,"HOLA","KEEP",1,"H","30",40,"","",""
"65","04/20/2014","Crystina","Caddo Co Center Pivots","14",NA,NA,"LASP","KEEP",1,"H","110",50,"","",""
"66","04/20/2014","Crystina","Caddo Co Center Pivots","14",NA,NA,"WCSP","KEEP",2,"S","20",10,"","",""
"67","04/20/2014","Crystina","Caddo Co Center Pivots","14",NA,NA,"LOSH","KEEP",1,"S","260",90,"","",""
"68","04/20/2014","Crystina","Caddo Co Center Pivots","14",NA,NA,"WCSP","KEEP",1,"S","290",30,"","",""
