Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Start Time (24h),Latitude,Longitude,Cloud,Wind,Notes,Species before,Species After
4/18/2014,Crystina,Sod Farms,2,SOFA,SOFAPC2,7:28,35.14598,-97.45654,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,5,SOFA,SOFAPC5,7:46,35.13291,-97.44185,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,8,SOFA,SOFAPC8,8:13,35.13149,-97.41592,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,11,SOFA,SOFAPC11,8:58,35.11047,-97.42411,0,0 to 5,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,CADD,CADDPC02,7:58,35.31725,-98.48264,100,0 to 5,Sprinkling,,SCFL
4/20/2014,Crystina,Caddo Co Center Pivots,6,CADD,CADDPC06,8:28,35.34692,-98.48264,100,0 to 5,,,"HOLA, LASP, VESP"
4/20/2014,Crystina,Caddo Co Center Pivots,10,CADD,CADDPC10,8:53,35.374,-98.46503,100,0 to 5,,,"WCSP, SAVS"
4/20/2014,Crystina,Caddo Co Center Pivots,14,CADD,CADDPC14,9:17,35.40249,-98.46512,100,0 to 5,,,SAVS
4/20/2014,Crystina,Caddo Co Center Pivots,18,CADD,CADDPC18,9:42,35.42069,-98.44909,100,0 to 5,,,BARS
4/20/2014,Crystina,Caddo Co Center Pivots,22,CADD,CADDPC22,10:10,35.45182,-98.39453,100,0 to 5,,,"LASP, BHCO, KILL, AMCR"
4/20/2014,Crystina,Caddo Co Center Pivots,26,CADD,CADDPC26,10:33,35.47147,-98.37492,100,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,28,TGPP,TGPP-PC28,7:19,36.75253,-96.35488,30,0 to 5,,,
4/23/2014,Crystina,Tallgrass Prairie,27,TGPP,TGPP-PC27,7:34,36.75253,-96.36387,30,5 to 10,"wind started to pick up, some traffic on this road",,sparrow sp.
4/23/2014,Crystina,Tallgrass Prairie,26,TGPP,TGPP-PC26,7:48,36.75252,-96.37285,30,5 to 10,,,
