Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Species,Quantity,Heard/Seen,Angle (deg),Distance (m),Breeding Code,Flyover,Notes
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,RWBL,1,S,280,30,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,DICK,2,S,180,70,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,RWBL,1,H,85,75,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,DICK,1,S,270,50,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,DICK,1,H,200,45,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,DICK,1,H,115,55,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,MODO,1,S,140,300,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,MODO,2,S,90,80,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,DICK,1,S,90,120,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,EAME,1,S,50,220,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,RWBL,1,S,50,30,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,WEME,1,H,100,85,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,HOLA,1,H,20,150,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,NOMO,1,H,150,300,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,WEME,1,H,145,285,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,CASP,1,H,120,220,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,CASP,1,H,40,200,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,CASP,1,H,350,215,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,HOLA,1,H,170,80,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,WEME,1,H,165,290,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,HOLA,1,H,240,125,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,NOMO,1,H,350,450,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,WEKI,3,S,275,185,A,,2 Fighting
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,HOLA,1,S,300,200,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,HOLA,2,S,395,175,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,LASP,1,H,240,60,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,CASP,1,H,35,120,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,LASP,1,H,80,50,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,CLSW,2,S,80,25,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,CASP,1,H,120,170,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,CASP,1,H,75,100,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEME,1,H,265,75,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEME,1,H,320,200,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,CLSW,1,S,240,50,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,LASP,1,S,90,30,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,NOMO,1,H,260,235,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEKI,1,S,95,160,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,NOMO,1,S,25,215,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,RTHA,1,S,290,250,,Flyover,soaring low
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,BAEA,1,S,280,100,,Flyover,above head
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEKI,1,H,270,250,A,,response to RTHA
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEKI,1,H,250,200,A,,response to RTHA
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEKI,1,S,260,15,,Flyover,flew over head
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,CONI,1,H,30,350,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,LASP,1,H,155,150,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,LASP,1,H,215,150,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,WEKI,1,S,195,160,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,CASP,1,H,95,125,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,CASP,1,H,265,230,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,DICK,1,H,25,200,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,DICK,2,H,115,250,,,CLUSTER
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,EAME,1,H,305,310,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,EAME,1,H,240,300,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,NOBO,1,H,30,400,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,HOFI,1,H,135,90,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,NOBO,1,H,190,385,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,CASP,1,H,235,140,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,DICK,1,H,170,250,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,DICK,1,H,260,240,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,EAME,1,H,340,260,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,WEKI,3,S,350,225,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,CASP,1,H,100,230,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,MODO,1,H,265,400,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,NOBO,1,H,250,450,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,FISP,1,H,155,145,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,BARS,1,H,165,85,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,BARS,1,S,245,100,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,EAME,1,S,295,210,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,,,COGR,1,H,30,185,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,CASP,1,H,95,200,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,CASP,1,H,170,210,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,NOBO,1,H,140,280,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,CASP,1,H,50,175,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,WEME,1,H,60,300,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,AMCR,1,H,290,450,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,RWBL,1,S,270,190,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,NOBO,1,H,300,400,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,AMCR,1,S,250,250,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,KILL,1,S,250,85,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,KILL,1,S,245,55,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,KILL,1,H,100,300,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,LASP,1,S,95,130,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,,,HOLA,1,H,195,150,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,NOCA,1,H,0,240,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,DICK,1,H,340,190,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,DICK,1,H,360,170,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,DICK,1,H,310,120,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,CASP,1,H,250,200,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,EAME,1,S,275,90,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,EAME,1,H,185,340,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,EAME,1,H,150,280,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,LASP,2,S,275,100,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,PABU,2,S,100,80,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,DICK,1,H,175,300,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,BGGN,1,H,40,30,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,CASP,1,H,160,240,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,NOBO,1,H,310,350,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,LASP,1,S,50,85,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,EAME,1,H,140,150,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,CASP,1,H,150,200,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,WEME,1,H,300,375,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,CASP,1,H,220,175,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,LASP,1,H,170,230,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,CASP,1,H,270,165,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,LASP,1,H,270,145,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,LASP,1,S,125,95,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,EAME,1,H,265,200,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,EAME,1,H,195,190,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,EAME,1,H,92,125,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,WEKI,1,S,92,120,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,EAME,1,H,110,275,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,DICK,1,H,260,300,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,DICK,1,H,310,300,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,DICK,1,H,215,250,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,LASP,1,H,265,140,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,NOBO,1,H,305,400,,,
