Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,,,,,,12:37,36.31837,97.98165,15%,10-15 N,Pastureland,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,,,,,,10:59,36.8024,102.87727,,,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,,,,,,11:19,36.83884,102.87701,,,,,
6/7/2013,JDR,Ellis Co WMA,ELIS-PC1,,,,,,6:35,36.0997,99.91707,,,,,
6/7/2013,JDR,Ellis Co WMA,ELIS-PC6,,,,,,7:25,36.05701,99.89209,,,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC3,,,,,,10:54,35.7773,99.85403,,,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,,,,,,14:55,35.61734,99.70589,75,10-15 S,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,,,,,,15:43,35.59875,99.65285,,,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,,,,,,16:18,35.60992,99.58542,,,,,
6/10/2013,JDR,Grazingland Res Lab,GRLB-PC4,,,,,,8:45,35.56046,98.04102,0,10-15S,,,
6/10/2013,JDR,Grazingland Res Lab,GRLB-PC8,,,,,,9:23,35.54983,98.01549,0,10-15S,,,
6/10/2013,JDR,Grazingland Res Lab,GRLB-PC12,,,,,,10:03,35.55129,98.06737,0,15-20S,,,
6/11/2013,JDR,Sandy Sanders WMA,SAND-PC3,,,,,,6:54,35.01656,99.71515,,0-5 SSE,,,
6/13/2013,JDR,Pennsylvania Ave (nr. KAEFS),PENN-PC1,,,,,,9:24,34.92908,97.54736,0,15 SSW,,BEVI to NNW,
6/13/2013,JDR,Pennsylvania Ave (nr. KAEFS),PENN-PC3,,,,,,9:43,34.94353,97.54741,0,15 SSW,,2 MODO to SW,
6/13/2013,JDR,Pennsylvania Ave (nr. KAEFS),PENN-PC5,,,,,,10:00,34.95787,97.54742,0,15 SSW,,GRSP singing on fenceline to N,
6/29/2013,JDR,Rita Blanca NG,RBNG-PC22,,,,,,19:06,36.5305,102.94289,100,0-5 E,,,
6/29/2013,JDR,Rita Blanca NG,RBNG-PC24,,,,,,19:25,36.53054,102.92439,100,5-10 E,Winds increasing; storms to west,,
6/29/2013,JDR,Rita Blanca NG,RBNG-PC26,,,,,,19:41,36.53049,102.90648,100,10-15 E,,,
6/3/2013,MDF,Selman Ranch,SELM-PC1,,,,,,12:09,36.76845,99.38728,0%,10 to 15,,,
6/6/2013,MDF,Black Mesa SP,BLKM-PC2,,,,,,10:56,36.817,102.87723,100%,5 to 10,,,
6/6/2013,MDF,Black Mesa SP,BLKM-PC5,,,,,,11:18,36.83082,102.87759,100%,5 to 10,,,
6/5/2013,MDF,Rita Blanca NG ,RBNG-PC1,,,,,,9:24,36.516,102.62045,0%,10 to 15,,,
6/5/2013,MDF,Rita Blanca NG,RBNG-PC2,,,,,,9:41,36.51604,102.62932,0%,10 to 15,,,
6/5/2013,MDF,Rita Blanca NG,RBNG-PC3,,,,,,9:59,36.5161,102.63846,0%,10 to 15,,,
6/5/2013,MDF,Rita Blanca NG,RBNG-PC4,,,,,,10:16,36.51605,102.64748,0%,10 to 15,,,
