Possible Observer,Possible Location,Possible transect,Possible Cloud,Possible Wind,Possible Species,Common name,Breeding Code,Breeding Code explainers,Possible Locations Along Transect,Possible Habitat Types
Crystina,Black Kettle NG,A,0,0 to 5,AMCR,American Crow,S,Singing male,Start,Standing Prairie
Eli (ESB),Cimmaron Bluffs,B,10,5 to 10,AMGO,American Goldfinch,P,Pair in sutable habitat,End,Grazed Prairie
Jeremy (JDR),Cimmaron Hills,C,20,10 to 15,AMKE,American Kestrel,PE,Brood patch,One-third,Burned Prairie
Jessica,Grazinglands,D,30,15 to 20,AMRO,American Robin,A,Agitated behavior,Two-thirds,Woodland
Josh,Hackberry Flat,E,40,20+,ATFL,Ash-throated Flycatcher,N,Visting probable nest site,,Oil Development
Kristen,Optima,F,50,,BAEA,Bald Eagle,C,"Courtship, display, or copulation",,Residential
Randy,Packsaddle,G,60,,BAOR,Baltimore Oriole,T,Territory held 7+ days,,Pasture
Roy (RFF),Washita NWR,H,70,,BARS,Barn Swallow,CN,Carrying nesting material,,Row Crops
Tory,WMWR,I,80,,BCHU,Black-chinned Hummingbird,NB,Nest building,,Riparian
,Tallgrass Prairie,J,90,,BEVI,Bell's Vireo,DD,Distraction display,,Scrub
,Drummond Flats,K,100,,BEWR,Bewick's Wren,CF,Carrying food,,Rock
,Crosstimbers,L,,,BGGN,Blue-Gray Gnatcatcher,CS,Carrying fecal sac,,Forage
,Noble - Coffee Ranch,M,,,BHCO,Brown Headed Cowbird,FY,Feeding young,,Bare Soil
,Noble - Red River Farm,N,,,BLGR,Blue Grosbeak,FL,Recently fledged young,,
,Noble - Oswalt Road,O,,,BLJA,Blue Jay,ON,Occupied nest,,
,Grimes switchgrass,P,,,BRTH,Brown Thrasher,NE,Nest with eggs,,
,Kessler,1,,,BUOR,Bullock's Oriole,NY,Nest with young,,
,Chandler,2,,,BUOW,Burrowing Owl,H,In appropiate habitat,,
,Four Canyons,3,,,CACH,Carolina Chickadee,,,,
,Metcalfe Museum,4,,,CAEG,Cattle Egret,,,,
,Rita Blanca NG,0,,,CANG,Canada Goose,,,,
