Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Species,whattodowiththissighting,Quantity,Heard/Seen,Angle (deg),Distance (m),Breeding Code,Flyover,Notes
4/18/2014,Crystina,Sod Farms,2,,,SAVS,KEEP,4,H,50,30,,,
4/18/2014,Crystina,Sod Farms,2,,,SAVS,KEEP,2,S,310,80,,Landed,
4/18/2014,Crystina,Sod Farms,2,,,SAVS,KEEP,3,S,270,40,,,
4/18/2014,Crystina,Sod Farms,2,,,AMCR,KEEP,1,S,180,180,,Flyover,
4/18/2014,Crystina,Sod Farms,5,,,SAVS,KEEP,1,H,270,20,,,
4/18/2014,Crystina,Sod Farms,5,,,EAME,KEEP,1,H,300,80,S,,
4/18/2014,Crystina,Sod Farms,5,,,GRSP,KEEP,1,H,60,20,,,
4/18/2014,Crystina,Sod Farms,5,,,EAME,KEEP,1,H,50,10,,,
4/18/2014,Crystina,Sod Farms,5,,,GRSP,KEEP,1,H,30,40,,,
4/18/2014,Crystina,Sod Farms,5,,,EAME,KEEP,1,S,240,90,,,
4/18/2014,Crystina,Sod Farms,5,,,SAVS,KEEP,2,S,170,50,,,
4/18/2014,Crystina,Sod Farms,5,,,SAVS,KEEP,1,S,180,60,,,
4/18/2014,Crystina,Sod Farms,5,,,SAVS,KEEP,3,S,30,30,,,
4/18/2014,Crystina,Sod Farms,5,,,EAME,KEEP,1,S,160,20,,,
4/18/2014,Crystina,Sod Farms,8,,,RBWO,KEEP,1,H,30,70,,,
4/18/2014,Crystina,Sod Farms,8,,,BLJA,KEEP,4,H,60,100,,,Heard then seen
4/18/2014,Crystina,Sod Farms,8,,,AMCR,KEEP,1,H,350,190,,,
4/18/2014,Crystina,Sod Farms,8,,,HOLA,KEEP,2,S,160,30,,,
4/18/2014,Crystina,Sod Farms,8,,,TUTI,KEEP,1,H,70,50,,,
4/18/2014,Crystina,Sod Farms,8,,,BGGN,KEEP,1,H,350,10,,,
4/18/2014,Crystina,Sod Farms,8,,,NOCA,KEEP,1,H,280,100,,,
4/18/2014,Crystina,Sod Farms,8,,,CACH,KEEP,1,H,90,90,,,
4/18/2014,Crystina,Sod Farms,8,,,BGGN,KEEP,1,S,10,20,,,
4/18/2014,Crystina,Sod Farms,8,,,WITU,KEEP,1,H,140,300,,,
4/18/2014,Crystina,Sod Farms,11,,,HOLA,KEEP,2,H,50,40,,,
4/18/2014,Crystina,Sod Farms,11,,,SWHA,KEEP,1,S,120,160,,Landed,
4/18/2014,Crystina,Sod Farms,11,,,SWHA,KEEP,31,S,340,300,,,Many aggregated in a field.
4/18/2014,Crystina,Sod Farms,11,,,CARW,KEEP,1,H,90,190,,,
4/18/2014,Crystina,Sod Farms,11,,,SAVS,KEEP,3,H,180,50,,,
4/18/2014,Crystina,Sod Farms,11,,,SAVS,KEEP,1,S,140,80,,,
4/18/2014,Crystina,Sod Farms,11,,,NOCA,KEEP,1,H,280,220,,,
4/18/2014,Crystina,Sod Farms,11,,,SAVS,KEEP,2,H,110,170,,,Heard then seen
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,NOBO,KEEP,1,H,140,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,EAME,KEEP,1,H,330,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,EAME,KEEP,1,H,160,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,EAME,KEEP,1,H,200,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,BHCO,KEEP,4,H,90,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,GRSP,KEEP,1,H,320,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,BARS,KEEP,3,S,340,110,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,GRSP,KEEP,1,H,50,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,RTHA,KEEP,1,S,150,180,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,SAVS,KEEP,1,S,70,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,BHCO,KEEP,4,S,240,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,YHBL,KEEP,7,H,140,120,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,BRBL,KEEP,14,S,140,120,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,,,NOMO,KEEP,1,H,170,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,EAME,KEEP,1,H,200,150,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,EAME,KEEP,1,H,40,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,HOLA,KEEP,4,S,340,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,HOLA,KEEP,1,H,60,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,EAME,KEEP,1,S,300,190,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,BARS,KEEP,2,S,340,40,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,LASP,KEEP,2,S,120,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,VESP,KEEP,1,H,300,160,,,
4/20/2014,Crystina,Caddo Co Center Pivots,6,,,VESP,KEEP,1,H,150,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,EAME,KEEP,1,H,350,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,EAME,KEEP,1,H,80,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,RWBL,KEEP,14,H,60,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,BHCO,KEEP,3,S,80,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,WCSP,KEEP,1,S,350,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,WCSP,KEEP,2,S,70,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,EAME,KEEP,1,H,170,200,,,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,BRBL,KEEP,3,H,210,60,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,10,,,HOLA,KEEP,1,H,30,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,LASP,KEEP,1,H,110,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,WCSP,KEEP,2,S,20,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,LOSH,KEEP,1,S,260,90,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,WCSP,KEEP,1,S,290,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,AMCR,KEEP,1,S,250,170,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,MODO,KEEP,1,S,100,200,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,MODO,KEEP,1,S,190,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,LASP,KEEP,2,S,340,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,SWHA,KEEP,2,S,150,70,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,LASP,KEEP,2,S,140,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,EAPH,KEEP,1,H,350,110,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,NOMO,KEEP,1,H,330,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,HASP,KEEP,1,H,320,120,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,CACH,KEEP,1,H,350,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,BHCO,KEEP,1,H,310,150,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,AMCR,KEEP,1,S,270,250,,Landed,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,GRSP,KEEP,1,H,190,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,GRSP,KEEP,1,H,100,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,BARS,KEEP,1,S,310,180,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,1,H,330,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOCA,KEEP,1,H,160,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,1,H,350,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,CACH,KEEP,1,H,340,90,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,5,S,290,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,MODO,KEEP,3,S,330,40,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,2,S,350,10,,Landed,Aggressively chasing each other
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,FISP,KEEP,1,H,40,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,BHCO,KEEP,1,H,150,50,,Landed,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,FISP,KEEP,1,H,190,150,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,1,S,270,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOMO,KEEP,1,S,60,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,6,S,50,30,,Landed,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOMO,KEEP,1,H,10,250,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOMO,KEEP,1,H,40,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,1,S,290,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,9,S,290,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,26,,,EAME,KEEP,1,H,340,200,,,
4/20/2014,Crystina,Caddo Co Center Pivots,26,,,WEME,KEEP,1,H,300,130,,,
