Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,whattodowiththisrecord,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
4/20/2014,Crystina,Caddo Co Center Pivots,2,CADD,CADDPC02,5,,,KEEP,7:58,35.31725,-98.48264,100,0 to 5,Sprinkling,,SCFL
4/20/2014,Crystina,Caddo Co Center Pivots,6,CADD,CADDPC06,6,,,KEEP,8:28,35.34692,-98.48264,100,0 to 5,,,"HOLA, LASP, VESP"
4/20/2014,Crystina,Caddo Co Center Pivots,10,CADD,CADDPC10,7,,,KEEP,8:53,35.374,-98.46503,100,0 to 5,,,"WCSP, SAVS"
4/20/2014,Crystina,Caddo Co Center Pivots,14,CADD,CADDPC13,8,,,KEEP,9:17,35.40249,-98.46512,100,0 to 5,,,SAVS
4/20/2014,Crystina,Caddo Co Center Pivots,18,CADD,CADDPC17,9,,,KEEP,9:42,35.42069,-98.44909,100,0 to 5,,,BARS
4/20/2014,Crystina,Caddo Co Center Pivots,22,CADD,CADDPC21,10,,,KEEP,10:10,35.45182,-98.39453,100,0 to 5,,,"LASP, BHCO, KILL, AMCR"
4/20/2014,Crystina,Caddo Co Center Pivots,26,CADD,CADDPC25,11,,,KEEP,10:33,35.47147,-98.37492,100,10 to 15,,,
4/25/2014,Crystina,Rita Blanca NG,12,RBNG,RBNG-PC14,25,,,KEEP,12:15,36.5307,-102.73385,60,0 to 5,,,
4/25/2014,Crystina,Rita Blanca NG,16,RBNG,RBNG-PC18,26,,,KEEP,12:42,36.53065,-102.77064,60,0 to 5,,,"LASP, HOLA"
4/25/2014,Crystina,Rita Blanca NG,22,RBNG,RBNG-PC25,27,,,KEEP,13:31,36.53054,-102.91555,60,0 to 5,,,
4/18/2014,Crystina,Sod Farms,2,SOFA,SOFAPC2,1,,,KEEP,7:28,35.14598,-97.45654,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,5,SOFA,SOFAPC5,2,,,KEEP,7:46,35.13291,-97.44185,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,8,SOFA,SOFA PC8,3,,,KEEP,8:13,35.13149,-97.41592,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,11,SOFA,SOFAPC11,4,,,KEEP,8:58,35.11047,-97.42411,0,0 to 5,,,
4/23/2014,Crystina,Tallgrass Prairie,23,TGPP,TGPP-PC23,17,,,KEEP,8:28,36.76789,-96.38971,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,24,TGPP,TGPP-PC24,16,,,KEEP,8:14,36.76161,-96.38493,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,25,TGPP,TGPP-PC25,15,,,KEEP,8:00,36.75508,-96.38123,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,26,TGPP,TGPP-PC26,14,,,KEEP,7:48,36.75252,-96.37285,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,27,TGPP,TGPP-PC27,13,,,KEEP,7:34,36.75253,-96.36387,30,5 to 10,"wind started to pick up, some traffic on this road",,sparrow sp.
4/23/2014,Crystina,Tallgrass Prairie,28,TGPP,TGPP-PC28,12,,,KEEP,7:19,36.75253,-96.35488,30,0 to 5,,,
4/23/2014,Crystina,Tallgrass Prairie,29,TGPP,TGPP-PC29,18,"CHECK, does not exist in map",confirmed,KEEP,8:43,36.77458,-96.39303,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,30,TGPP,TGPP-PC30,19,"CHECK, does not exist in map",confirmed,KEEP,8:56,36.78169,-96.3946,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,31,TGPP,TGPP-PC31,20,"CHECK, does not exist in map",confirmed,KEEP,9:16,36.78801,-96.40009,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,32,TGPP,TGPP-PC32,21,"CHECK, does not exist in map",confirmed,KEEP,9:35,36.79193,-96.40765,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,33,TGPP,TGPP-PC33,22,"CHECK, does not exist in map",confirmed,KEEP,9:48,36.79782,-96.41283,30,15 to 20,,,
4/23/2014,Crystina,Tallgrass Prairie,34,TGPP,TGPP-PC34,23,"CHECK, does not exist in map",confirmed,KEEP,10:01,36.80275,-96.4194,10,15 to 20,,,
4/23/2014,Crystina,Tallgrass Prairie,35,TGPP,TGPP-PC35,24,"CHECK, does not exist in map",confirmed,KEEP,10:17,36.80453,-96.42822,10,15 to 20,,UPSA,
6/8/2014,Crystina,WMWR,0,WXRD,WXRD-PC01,51,,,KEEP,10:21,34.6963,-98.77353,100,10 to 15,"WXRD, drizzling and gusty",,NOMO
6/12/2014,Crystina,WMWR,1,WMWR,WMWR-PC01,55,,,KEEP,6:56,34.74809,-98.75363,0,0 to 5,,,AMRO
5/5/2014,Crystina,WMWR,1,WMWR,WMWR-PC01,28,,,KEEP,7:36,34.74809,-98.75363,0,15 to 20,WMWR-PC01,,
6/8/2014,Crystina,WMWR,1,W49H,W49H-PC02,53,,,KEEP,11:33,34.73971,-98.79802,80,10 to 15,"W49H, gusty",,"GRSP fledglings, CASP"
6/12/2014,Crystina,WMWR,2,WMWR,WMWR-PC02,56,,,KEEP,7:13,34.74478,-98.74531,0,0 to 5,,,"NOMO, AMRO"
5/5/2014,Crystina,WMWR,2,WMWR,WMWR-PC02,29,,,KEEP,7:48,34.74478,-98.74531,0,15 to 20,WMWR-P1,,
6/12/2014,Crystina,WMWR,3,WMWR,WMWR-PC03,57,,,KEEP,7:28,34.74312,-98.73738,0,0 to 5,,,MODO
5/5/2014,Crystina,WMWR,3,WMWR,WMWR-PC03,30,,,KEEP,8:03,34.74312,-98.73738,0,15 to 20,WMWR-P2,,
6/12/2014,Crystina,WMWR,4,WMWR,WMWR-PC04,58,,,KEEP,7:42,34.7407,-98.72861,0,0 to 5,,,WITU
5/5/2014,Crystina,WMWR,4,WMWR,WMWR-PC04,31,,,KEEP,8:16,34.7407,-98.72861,0,5 to 10,WMWR-P3,,
6/8/2014,Crystina,WMWR,4,WXRD,WXRD-PC05,52,,,KEEP,10:44,34.69608,-98.80876,100,10 to 15,"WXRD, drizzling and gusty",,"PABU, AMCRO, AMRO, TUVU"
6/12/2014,Crystina,WMWR,5,WMWR,WMWR-PC05,59,,,KEEP,7:56,34.73652,-98.72145,0,0 to 5,,,
5/5/2014,Crystina,WMWR,5,WMWR,WMWR-PC05,32,,,KEEP,8:30,34.73652,-98.72145,0,10 to 15,"WMWR-P4, gusty",,EAME
