"","X","areakm2","Species","model","threshold"
"1","small.area","32904.4635","BHCO","current","0.5"
"2","medium.area","26480.7279","BHCO","current","0.5"
"3","large.area","23388.9138","BHCO","current","0.5"
"4","statewide.area","25933.1175","BHCO","current","0.5"
"5","small.area","54466.4358","BHCO","future","0.5"
"6","medium.area","47575.0521","BHCO","future","0.5"
"7","large.area","150572.0016","BHCO","future","0.5"
"8","statewide.area","169720.9902","BHCO","future","0.5"
"9","small.area","6429.9465","CASP","current","0.5"
"10","medium.area","5639.1912","CASP","current","0.5"
"11","large.area","5233.8519","CASP","current","0.5"
"12","statewide.area","5406.1164","CASP","current","0.5"
"13","small.area","6602.9949","CASP","future","0.5"
"14","medium.area","1035.7614","CASP","future","0.5"
"15","large.area","5346.1377","CASP","future","0.5"
"16","statewide.area","27454.0005","CASP","future","0.5"
"17","small.area","11742.8004","DICK","current","0.5"
"18","medium.area","16562.5362","DICK","current","0.5"
"19","large.area","24921.0648","DICK","current","0.5"
"20","statewide.area","26189.5365","DICK","current","0.5"
"21","small.area","18725.4081","DICK","future","0.5"
"22","medium.area","61590.4974","DICK","future","0.5"
"23","large.area","68259.3246","DICK","future","0.5"
"24","statewide.area","92961.4365","DICK","future","0.5"
"25","small.area","19935.3267","EAME","current","0.5"
"26","medium.area","26382.0546","EAME","current","0.5"
"27","large.area","36996.3027","EAME","current","0.5"
"28","statewide.area","36924.9066","EAME","current","0.5"
"29","small.area","20438.6706","EAME","future","0.5"
"30","medium.area","48732.7077","EAME","future","0.5"
"31","large.area","60427.7892","EAME","future","0.5"
"32","statewide.area","69507.3465","EAME","future","0.5"
"33","small.area","7110.3051","FISP","current","0.5"
"34","medium.area","4760.5662","FISP","current","0.5"
"35","large.area","3693.3273","FISP","current","0.5"
"36","statewide.area","2830.5828","FISP","current","0.5"
"37","small.area","3080.7648","FISP","future","0.5"
"38","medium.area","15236.3538","FISP","future","0.5"
"39","large.area","1463.0481","FISP","future","0.5"
"40","statewide.area","2527.7733","FISP","future","0.5"
"41","small.area","8442.8271","GRSP","current","0.5"
"42","medium.area","10047.7071","GRSP","current","0.5"
"43","large.area","10972.2294","GRSP","current","0.5"
"44","statewide.area","10195.6716","GRSP","current","0.5"
"45","small.area","12417.8031","GRSP","future","0.5"
"46","medium.area","31963.1562","GRSP","future","0.5"
"47","large.area","60376.8618","GRSP","future","0.5"
"48","statewide.area","55564.9434","GRSP","future","0.5"
"49","small.area","3351.7746","HOLA","current","0.5"
"50","medium.area","2564.9289","HOLA","current","0.5"
"51","large.area","2602.0755","HOLA","current","0.5"
"52","statewide.area","2515.5144","HOLA","current","0.5"
"53","small.area","1187.5248","HOLA","future","0.5"
"54","medium.area","1793.9529","HOLA","future","0.5"
"55","large.area","26326.6839","HOLA","future","0.5"
"56","statewide.area","100225.854","HOLA","future","0.5"
"57","small.area","21711.1392","LASP","current","0.5"
"58","medium.area","19898.6085","LASP","current","0.5"
"59","large.area","19390.8195","LASP","current","0.5"
"60","statewide.area","21737.4102","LASP","current","0.5"
"61","small.area","10845.1827","LASP","future","0.5"
"62","medium.area","11713.8231","LASP","future","0.5"
"63","large.area","20647.5444","LASP","future","0.5"
"64","statewide.area","29775.2661","LASP","future","0.5"
"65","small.area","18703.0971","NOBO","current","0.5"
"66","medium.area","25830.3429","NOBO","current","0.5"
"67","large.area","32212.9602","NOBO","current","0.5"
"68","statewide.area","34292.3904","NOBO","current","0.5"
"69","small.area","28501.4475","NOBO","future","0.5"
"70","medium.area","34758.0927","NOBO","future","0.5"
"71","large.area","58426.4178","NOBO","future","0.5"
"72","statewide.area","61042.5072","NOBO","future","0.5"
"73","small.area","315.8514","UPSA","current","0.5"
"74","medium.area","132.5196","UPSA","current","0.5"
"75","large.area","74.4075","UPSA","current","0.5"
"76","statewide.area","70.7274","UPSA","current","0.5"
"77","small.area","21.4344","UPSA","future","0.5"
"78","medium.area","46.8369","UPSA","future","0.5"
"79","large.area","2005.6509","UPSA","future","0.5"
"80","statewide.area","12366.2574","UPSA","future","0.5"
"81","small.area","8859.0366","WEME","current","0.5"
"82","medium.area","11018.0871","WEME","current","0.5"
"83","large.area","11388.564","WEME","current","0.5"
"84","statewide.area","14834.0835","WEME","current","0.5"
"85","small.area","1477.1826","WEME","future","0.5"
"86","medium.area","4438.9458","WEME","future","0.5"
"87","large.area","85.9554","WEME","future","0.5"
"88","statewide.area","531.4392","WEME","future","0.5"
