,Date,Observer,Location,Transect,StandardizedLocationName,LocalSurveyName,names,START.newspotnames,END.newspotnames,cmc_comments,answers,Start.Time..24h.,Start.LAT,Start.LON,Start.Cloud,Start.Wind,End.Time..24h.,End.LAT,End.LON,End.Cloud,End.Wind,Notes,Species.before,Species.After
1,4/15/2014,Crystina,Chickasaw NRA,A,NA,NA,1,CNRA-A1,CNRA-A2,"appears to be in Chickasaw NRA, no transects there from gpx file though.","Yes, CNRA walking transects",8:35,34.49194,-97.03599,0,0 to 5,9:37,34.49704,-97.02596,0,5 to 10,Area looked burned. Took pictures at 9:10 and 9:25,"NOCA, SPTO","BGGN, EAPH, NOCA, BAWW, CACH"
2,4/15/2014,Crystina,Chickasaw NRA,B,NA,NA,2,CNRA-A1,CNRA-A2,"appears to be in Chickasaw NRA, no transects there from gpx file though.","Yes, CNRA walking transects",9:58,34.49394,-97.02288,0,5 to 10,10:56,34.48879,-97.03378,0,5 to 10,Grass in some areas taller than me. (5.0 ft),,"TUTI, NOCA, FISP"
3,4/17/2014,Crystina,Grady Co WMA,A,NA,NA,3,GRDY_A1,GRDY_A2,,,9:56,34.78319,-97.86962,100,10 to 15,11:18,34.77055,-97.86978,100,5 to 10,Briefly stopped to talk to Jeremy b/w 10:08-10:12 about turkey season,,"WITU, BHCO, 3 SCFL"
4,5/9/2014,Crystina,Hackberry Flat,E,NA,NA,4,HACK-E start (JGK),HACK-E end (JGK),,,7:27,34.29079,-98.94503,0,5 to 10,8:38,34.30506,-98.945,10,10 to 15,"7:57 wind started picking up, 8:06 called Jessica & Josh about wheat field and whether it was private property",,"STFL, GRSP"
5,5/9/2014,Crystina,Hackberry Flat,J,NA,NA,5,HACK-J end (JGK),HACK-J start (JGK),,,9:23,34.31229,-98.95168,10,10 to 15,9:52,34.30516,-98.95175,10,10 to 15,9:36 paused briefly to use restroom,,swallow sp.
6,4/9/2014,Crystina,Kessler,A,NA,NA,6,KAEF-F1,KAEF-F2,no named points nearby. Same as 100 start.,Double observer. Use Josh's data.,8:16,34.98572,-97.52455,0,0 to 5,9:17,34.97969,-97.5227,0,5 to 10,,,SOSP
7,4/9/2014,Crystina,Kessler,B,NA,NA,7,KAEF-E1,KAEF-E2b,no named points nearby. Same as 7.,Double observer. Use Josh's data.,9:39,34.97746,-97.5171,0,0 to 5,10:34,34.98414,-97.51994,0,10 to 15,,,
8,5/6/2014,Josh,WMWR,H,NA,NA,8,WMWR-H end (JGK),WMWR-H end (JDR),,,9:45,34.72477,-98.59242,10,15 to 20,10:43,34.741389,-98.592222,20,20+,,,
13,7/5/2013,ESB,Chandler,A ,NA,NA,13,CHND-A1,CHND-A2,"no end point, otherwise CHND-A, not in original transect gpx",Use other provided endpoints from CHND-A,6:54,35.73656,-96.852,95%,5-10 E,7:25,35.74313,-96.85144,95%,10-15 E,,,
11,6/15/2013,ESB,Chandler,A1-A2,NA,NA,11,CHND-A1,CHND-A2,"CHND-A, not in original transect gpx",confirmed,6:22,35.73658,-96.85201,95%,0-5 WNW,7:02,35.74313,-96.85144,100%,0-5 WNW,,,
14,7/5/2013,ESB,Chandler,B ,NA,NA,14,CHND-B1,CHND-B2,"CHND-B, not in original transect gpx.",confirmed,7:40,35.7441,-96.8566,95%,10-15 ENE,8:16,35.73589,-96.85577,95%,15-20 ENE,,,
12,6/15/2013,ESB,Chandler,B1-B2,NA,NA,12,CHND-B1,CHND-B2,"CHND-B, not in original transect gpx.",confirmed,7:12,35.74421,-96.85671,100%,0-5 WNW,7:47,35.73593,-96.85587,90%,0-5 WNW,,,
9,6/2/2013,ESB,Chandler,CHND-A,NA,NA,9,CHND-A1,CHND-A2,"CHND-A, not in original transect gpx",confirmed,7:08,35.73655,-96.852,0,0-5,7:56,35.74313,-96.85167,0,0-5,Crossed road at 7:22. GPS batteries died at 7:45 (1min to change),,
10,6/2/2013,ESB,Chandler,CHND-B,NA,NA,10,CHND-B1,CHND-B2,"CHND-B, not in original transect gpx.",confirmed,8:13,35.7441,-96.85664,0,0-5,9:00,35.73591,-96.85586,5%,5- 10N,Crossed road at 8:46,,GRSP
15,6/4/2013,ESB,Drummond Flats WMA,DRMD-C,NA,NA,15,DRMD-C1,DRMD-C2,,,7:21,36.30397,-98.04425,95%,15-20 NNE,9:32,36.32507,-98.04634,85%,10-15 NNE,drifted off transect ca. 300 m.,,
16,6/4/2013,ESB,Drummond Flats WMA,DRMD-D,NA,NA,16,DRMD-D1,DRMD-D2,,,10:07,36.31825,-98.05182,50%,0-5 NNE,10:54,36.30406,-98.05145,10%,10-15 NNE,,,
17,7/6/2013,ESB,Grimes,A-B,NA,NA,17,GRSG-C1,GRSG-C2,same as 77,confirmed,7:38,34.79737,-97.4883,60%,0-5 NNW,8:43,34.80806,-97.48886,10%,5-10 NNW,,,
18,7/4/2013,ESB,Oswalt,Oswalt A-B,NA,NA,18,OSWT-A1,OSWT-A2,same as 63,confirmed,6:31,33.98766,-97.22179,15%,0-5 N,8:47,33.98761,-97.24757,5%,0-5 N,,,
21,6/7/2013,ESB,Tallgrass,A1-A2,NA,NA,21,TGPP-A1,TGPP-A3,21end is south of A2.  Go too far or error?,"It does extend far beyond the ending point I used on 4/23/14. Data's fine, though.",6:27,36.80199,-96.42134,0,0 to 5,9:35,36.76681,-96.42132,0,0 to 5,,,
22,6/7/2013,ESB,Tallgrass,B1-B2,NA,NA,22,TGPP-B1,TGPP-B2,,,9:58,36.77006,-96.41239,0,0 to 5,10:54,36.78554,-96.4116,0,5 to 10,,,
19,6/6/2013,ESB,Tallgrass,I1-I2,NA,NA,19,TGPP-I1,TGPP-I3,I2 is west of 19end.  Go too far or error?,"Typo in longitude (confirmed by GPS track). Designated end as ""I3"" because transect was broken up differently in 2014.",7:42,36.84534,-96.4518,70%,0-5 ENE,9:06,36.84324,-96.47694,70%,5-10 NNE,,,
20,6/6/2013,ESB,Tallgrass,J1-J2,NA,NA,20,TGPP-J1,TGPP-J2,,,9:33,36.85189,-96.48306,75%,5-10 S,11:37,36.85114,-96.43522,90%,0-5 SSE,,,
27,7/3/2013,JBT,Crosstimbers WMA,XTIM-A,NA,NA,27,XTIM-A1,XTIM-A2,,confirmed,8:44,33.95777,-97.36065,0%,0,9:46,33.94123,-97.36079,0%,0-5 S,Stopped to talk to biologist between 9:18 to 9:32,,
23,6/2/2013,JBT,Crosstimbers WMA,XTIM-A,NA,NA,23,XTIM-A1,XTIM-A2,,confirmed,8:54,33.95812,-97.35984,5%,5-10 N,10:14,33.94067,-97.36045,0%,10-15 N,,,
28,7/3/2013,JBT,Crosstimbers WMA,XTIM-B,NA,NA,28,XTIM-B1,XTIM-B2,consistent with 149.,confirmed,10:02,33.94058,-97.36763,5%,0-5 SW,10:43,33.94857,-97.36754,15%,0-5 SW,Stopped to fix boots between 10:13 to 10:23,,
24,6/2/2013,JBT,Crosstimbers WMA,XTIM-B,NA,NA,24,XTIM-B1,XTIM-B2,consistent with 149.,confirmed,10:26,33.94046,-97.36795,0%,10-15 N,11:00,33.94911,-97.36765,0%,10-15 N,,,
25,6/2/2013,JBT,Crosstimbers WMA,XTIM-C,NA,NA,25,XTIM-C1,XTIM-C2,all these xtim sites not shown.,confirmed,13:04,33.95227,-97.38539,0%,10-15 N,13:29,33.95879,-97.38533,0%,10-15 N,,,
26,6/2/2013,JBT,Crosstimbers WMA,XTIM-D,NA,NA,26,XTIM-D1,XTIM-D2,all these xtim sites not shown.,confirmed,13:40,33.95879,-97.39201,0%,10-15 N,14:04,33.96895,-97.39157,0%,10-15 N,,,
31,7/1/2013,JBT,Drummond Flats WMA,DRMD-E,NA,NA,31,DRMD-E1,DRMD-E2b,south of E2,"I believe the area was too wet to continue, so Jeff broke west to start F transect.",7:30,36.30376,-98.05977,0%,0,8:50,36.31825,-98.05971,30%,5-10 SW,,,
29,6/4/2013,JBT,Drummond Flats WMA,DRMD-E,NA,NA,29,DRMD-E1,DRMD-E2a,north of E2,confirmed,7:43,36.30376,-98.05977,75%,15-20 N,9:48,36.32955,-98.05969,30%,5-15 N,,,
32,7/1/2013,JBT,Drummond Flats WMA,DRMD-F,NA,NA,32,DRMD-F1b,DRMD-F2,start and end are in between the F start and end points.,"I believe the area to North was too wet to start at original F1 starting point, so Jeff started F transect further south. Ending longitude likely had typo in it (confirmed by GPS track).",9:13,36.31828,-98.06863,0%,15 SW,9:51,36.30388,-98.06875,0%,10 SW,,,
30,6/4/2013,JBT,Drummond Flats WMA,DRMD-F,NA,NA,30,DRMD-F1a,DRMD-F2,,,10:06,36.32738,-98.06699,30%,10-15 N,11:17,36.30483,-98.06874,10%,15-20 N,,,
33,6/12/2013,JBT,"Grimes Switchgrass, Garvin Co.",GRSG-A,NA,NA,33,GRSG-A1,GRSG-A2,"parallel to 17/77, but starts at same point as 55.",confirmed,6:44,34.79776,-97.49242,5,8-13 N,8:06,34.80755,-97.49225,2%,15-20 N,,"DICK, NOCA, CLSW, CACH",
34,5/29/2013,JBT,Hackberry Flats WMA,HACK-A,NA,NA,34,HACK-A start (JBT),HACK-A end (JBT),,,6:50,34.29676,-98.97558,100,10-15 SE,7:12,34.29785,-98.97009,95,12-18 SE,,,
35,5/29/2013,JBT,Hackberry Flats WMA,HACK-F,NA,NA,35,HACK-F start (JBT),HACK-F end (JBT),,,7:24,34.29769,-98.96549,95,15-20 SE,8:31,34.31234,-98.96558,80,15-20 SE,"Wheat from start through 7:46, then mesquite",,
36,6/1/2013,JBT,Noble Foundation - Oswalt Road Ranch,OSWT-B,NA,NA,36,OSWT-B1,OSWT-B2,ends where 37 starts,confirmed,12:57,33.99127,-97.23051,85,10-15 N,14:26,34.01187,-97.23045,60,10-15 N,,,
37,6/1/2013,JBT,Noble Foundation - Oswalt Road Ranch,OSWT-C,NA,NA,37,OSWT-C1,OSWT-C2,starts where 36 ends,Moved slightly and changed trajectory,14:32,34.01302,-97.23148,40%,15 N,15:13,34.02635,-97.22245,20%,15-20 N,,,
39,7/3/2013,JBT,Noble Foundation - Red River Ranch,REDR-A,NA,NA,39,REDR-A1a,REDR-A2a,"same as 146, 38, 61","Some variation around ending point for observers who did this transect. Essentially same area, however.",6:28,33.88603,-97.29112,5%,0,8:05,33.88621,-97.27824,5%,0,"Between 7:27 to 7:33 - Grass too tall to effectively survey, over 8 ft. tall Johnson Grass",,
38,6/1/2013,JBT,Noble Foundation - Red River Ranch,REDR-A,NA,NA,38,REDR-A1a,REDR-A2a,"same as 146, 39, 61",Some variation around ending point for observers who did this transect.,18:24,33.88609,-97.2912,10%,15-20 N,19:46,33.88603,-97.27824,10%,0-5 N,,,
40,6/6/2013,JBT,Tallgrass Prairie Preserve,TGPP-G,NA,NA,40,TGPP-G1,TGPP-G2a,Near 43 but end points offset.  Between the other G points.,"Some variance in path, but overall about the same coverage between visits.",8:31,36.82921,-96.46644,45,5-10 SE,9:42,36.8298,-96.44669,60,5-10 SSE,,,
43,7/8/2013,JBT,Tallgrass Prairie Preserve,TGPP-G,NA,NA,43,TGPP-G1,TGPP-G2b,Near 40 but end points offset  Between the other G points.,"Some variance in path, but overall about the same coverage between visits.",8:35,36.82853,-96.4668,25,0-5 N,9:32,36.82641,-96.44517,7,5-10 N,GPS 38 ->39,,
44,7/8/2013,JBT,Tallgrass Prairie Preserve,TGPP-H,NA,NA,44,TGPP-H1,TGPP-H2b,Between the other H points and on the line.,"Again, variance in the path but largely the same area covered.",6:45,36.83692,-96.44701,40,0,8:16,36.83653,-96.46695,35,5-10 N,GPS 36,,
41,6/6/2013,JBT,Tallgrass Prairie Preserve,TGPP-H,NA,NA,41,TGPP-H1,TGPP-H2a,Between the other H points and slightly off line.,"Again, variance in the path but largely the same area covered.",6:58,36.83653,-96.44687,5,5-10 ESE,8:21,36.8334,-96.46565,40,5-10 SE,,,
42,6/6/2013,JBT,Tallgrass Prairie Preserve,TGPP-M,NA,NA,42,TGPP-M1,TGPP-M2,"Near the M points, can rename?",It's a good distance west of where G2 and H1 ended up being located (both transects were truncated to start/end at road). Transect M was relatively short.,10:42,36.83019,-96.42085,45,5-10 SSE,10:58,36.83577,-96.42204,45,5-10 SSE,,,
45,5/27/2013,JBT,Wichita Mountains Wildlife Refuge,WMWR-B,NA,NA,45,WMWR-B start (JBT),WMWR-B end (JBT),,,6:40,34.68984,-98.70985,10,15-20 SSE,8:11,34.69005,-98.73691,90,20-25 SSE,,,
46,5/27/2013,JBT,Wichita Mountains Wildlife Refuge,WMWR-G,NA,NA,46,WMWR-G start (JBT),WMWR-G end (JBT),,,8:24,34.69367,-98.73205,95,15-25 SSE,9:03,34.69362,-98.71189,100,25-30 SSE,,,
47,6/3/2013,JDR,CimBluff,E,NA,NA,47,CIMB-E1,CIMB-E2,,,7:07,36.84115,-99.3457,65,0-5,9:01,36.81742,-99.34569,30,10-15 SSE,,WITU,
48,6/3/2013,JDR,CimBluff,F,NA,NA,48,CIMB-F1,CIMB-F2,,,9:20,36.81684,-99.33716,20,10-15 SSE,10:58,36.84136,-99.33742,5,20-25 SSE,,,
49,5/16/2014,JDR,Cimmaron Bluffs,D,NA,NA,49,CIMB-D1,CIMB-D2,double observer?,"Yes, use data from JDR",8:42,36.80503,-99.35384,70,0 to 5,11:20,36.84124,-99.35415,10,5 to 10,"EAKI, CASP (before count); CHSW, BUOR, LASP(CF) (after count)",,
50,5/16/2014,JDR,Cimmaron Bluffs,G,NA,NA,50,CIMB-G1,CIMB-G2,double observer?,"Yes, use data from JDR",7:43,36.7979,-99.34843,40,0 to 5,8:10,36.80513,-99.34852,50,0 to 5,,,
51,5/17/2014,JDR,Cimmaron Hills,D,NA,NA,51,CIMH-D1,CIMH-D2,double observer?  Not quite to d2.,"Yes, use data from JDR. Lat/lon had been rounded to 2 decimal places",8:06,36.93104,-99.3995,100,0 to 5,10:47,36.94406,-99.37391,100,0 to 5,FOGGY AND HUMID,"EAKI, LHSH, WESA, WIPH","EAME, GRSP, LBHE"
52,6/4/2013,JDR,Cimmaron Hills WMA,CIMH-C,NA,NA,52,CIMH-C1,CIMH-C2,,,9:34,36.94197,-99.36328,0%,10-15 SE,11:28,36.92644,-99.38966,5%,10-15 SSW,,Skipped farmsite at 9:51.  Restarted transect at 9:54. Skirted around ditch at 9:59,
53,6/4/2013,JDR,Cimmaron Hills WMA,CIMH-D,NA,NA,53,CIMH-D1,CIMH-D2,,,7:17,36.93096,-99.39963,20%,5-10 S,9:14,36.94407,-99.37407,5%,10-15 SE,,,"NOLA, KILL, LETE"
54,5/4/2014,JDR,Crosstimbers,A,NA,NA,54,XTIM-A1,XTIM-A2,,confirmed,8:10,33.95777,-97.36066,0,5 to 10,9:51,33.94049,-97.36062,0,10 to 15,,"UPSA, PABU, BHCO","BEVI, KILL"
55,6/12/2013,JDR,"Grimes Switchgrass, Garvin Co.",GRSG-B,NA,NA,55,GRSG-B1,GRSG-B2,perpendicular to 77/17 but touches one end,"Along road, but walking transect.",6:43,34.79744,-97.49248,0%,10-15 SSW,7:59,34.79732,-97.4818,5%,10-15 S,"YBCU, FISP, YEWA",Road transect,
