"Date","Observer","Location","Transect","Point On Transect","Camera","Min height vis obstruct (cm)","Forb","Grass","Dead","Bare","Litter","Total","Dist to Edge (m)","Habitat Types <180m","Notes"
4/23/2014,"Josh","Tallgrass Prairie","E","Start",142,,10,10,80,0,0,100,1000,"Standing Prairie, Burned Prairie","~100m from recent burn"
4/23/2014,"Josh","Tallgrass Prairie","E","One-third",142,,5,5,80,0,0,90,75,"Standing Prairie",
4/23/2014,"Josh","Tallgrass Prairie","E","Two-thirds",142,,0,20,60,5,20,105,1000,"Standing Prairie",
4/23/2014,"Josh","Tallgrass Prairie","E","End",142,,5,5,80,0,5,95,500,"Standing Prairie, Woodland, Riparian","~10m from running stream"
4/23/2014,"Josh","Tallgrass Prairie","F","Start",142,,10,40,0,40,10,100,600,"Standing Prairie",
4/23/2014,"Josh","Tallgrass Prairie","F","One-third",142,,5,0,90,0,5,100,1000,"Standing Prairie",
4/23/2014,"Josh","Tallgrass Prairie","F","Two-thirds",142,,5,10,75,0,10,100,">1000","Standing Prairie",
4/23/2014,"Josh","Tallgrass Prairie","F","End",142,,5,15,70,0,10,100,">1000","Standing Prairie, Oil Development",
4/23/2014,"Jessica","Tallgrass Prairie","I","Start",,,2,5,85,0,8,100,10,"Standing Prairie, Woodland",
4/23/2014,"Jessica","Tallgrass Prairie","I","One-third",,,3,50,22,5,20,100,250,"Standing Prairie, Riparian","near water, small stream"
4/23/2014,"Jessica","Tallgrass Prairie","I","Two-thirds",,,15,65,10,2,8,100,150,"Standing Prairie, Riparian","near ditch"
4/23/2014,"Jessica","Tallgrass Prairie","I","End",,,5,40,50,1,4,100,200,"Grazed prairie",
4/23/2014,"Jeremy","Tallgrass Prairie","A","End",143,,5,25,55,0,15,100,20,"Burned Prairie, Woodland, Riparian",
4/23/2014,"Jeremy","Tallgrass Prairie","A","Start",143,,15,30,20,15,20,100,80,"Standing Prairie, Residential, Grazed Prairie","Corrals"
4/23/2014,"Jeremy","Tallgrass Prairie","A","One-third",143,,5,40,30,0,25,100,85,"Native Prairie, Riparian, Woodland","15deg slope"
4/23/2014,"Jeremy","Tallgrass Prairie","B","Start",143,,15,10,60,0,15,100,10,"Burned prairie, Standing Prairie, scrub, rock",
4/23/2014,"Jeremy","Tallgrass Prairie","B","One-third",143,,15,15,0,70,0,100,25,"Burned prairie, open water, riparian","Fresh burn"
4/23/2014,"Jeremy","Tallgrass Prairie","B","Two-thirds",143,,5,15,0,80,0,100,65,"Burned prairie, woodland, scrub, riparian",
4/23/2014,"Jeremy","Tallgrass Prairie","B","End",143,,20,15,0,55,10,100,3,"Riparian, burned prairie, scrub, woodland",
5/1/2014,"Josh","Drummond Flats","F","Start",142,,5,45,50,0,0,100,100,"Fenceline, wet prairie, standing prairie",
5/1/2014,"Josh","Drummond Flats","F","One-third",142,,0,50,0,30,20,100,50,"Row crops, standing prairie","Wheat"
5/1/2014,"Josh","Drummond Flats","F","Two-thirds",142,,20,20,5,10,45,100,">1000","Standing prairie",
5/1/2014,"Josh","Drummond Flats","F","End",142,,20,0,0,5,75,100,10,"Standing prairie","Near road"
5/1/2014,"Josh","Drummond Flats","E","Start",142,,0,0,0,100,0,100,10,"Standing prairie, scrub","Transect begins in road"
5/1/2014,"Josh","Drummond Flats","E","One-third",142,,20,0,0,50,30,100,">1000","Wet prairie with scrub","Fenceline along dry canal"
